时间戳,物理块,磨损圈数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
19:03:25,Block 140,20 圈,4296.2,3384.4,4.49,4.84,1211,衰退 🟡
19:03:25,Block 141,20 圈,4296.2,3384.4,4.49,4.84,1266,衰退 🟡
19:06:22,Block 140,40 圈,4296.2,3384.4,4.49,4.84,1047,衰退 🟡
19:06:22,Block 141,40 圈,4296.2,3384.4,4.49,4.84,1137,衰退 🟡
19:09:18,Block 140,60 圈,4296.8,3384.4,4.49,4.84,1167,衰退 🟡
19:09:18,Block 141,60 圈,4296.8,3384.4,4.49,4.84,1232,衰退 🟡
19:12:14,Block 140,80 圈,4296.8,3384.4,4.49,4.84,1061,衰退 🟡
19:12:14,Block 141,80 圈,4296.8,3384.4,4.49,4.84,1272,衰退 🟡
19:15:11,Block 140,100 圈,4297.0,3384.4,4.49,4.84,1412,衰退 🟡
19:15:11,Block 141,100 圈,4297.0,3384.4,4.49,4.84,1486,衰退 🟡
19:18:07,Block 140,120 圈,4297.0,3384.4,4.49,4.84,1156,衰退 🟡
19:18:07,Block 141,120 圈,4297.0,3384.4,4.49,4.84,1296,衰退 🟡
19:21:03,Block 140,140 圈,4297.0,3384.4,4.49,4.84,1395,衰退 🟡
19:21:03,Block 141,140 圈,4297.0,3384.4,4.49,4.84,1544,全毁 🔴
19:24:00,Block 140,160 圈,4296.8,3384.4,4.49,4.84,1179,衰退 🟡
19:24:00,Block 141,160 圈,4296.8,3384.4,4.49,4.84,1293,衰退 🟡
19:26:56,Block 140,180 圈,4297.0,3384.4,4.49,4.84,1155,衰退 🟡
19:26:56,Block 141,180 圈,4297.0,3384.4,4.49,4.84,1272,衰退 🟡
19:29:52,Block 140,200 圈,4296.8,3384.4,4.49,4.84,1128,衰退 🟡
19:29:52,Block 141,200 圈,4296.8,3384.4,4.49,4.84,1244,衰退 🟡
19:32:49,Block 140,220 圈,4296.8,3384.4,4.49,4.84,1137,衰退 🟡
19:32:49,Block 141,220 圈,4296.8,3384.4,4.49,4.84,1305,衰退 🟡
19:35:45,Block 140,240 圈,4296.7,3384.4,4.49,4.84,1155,衰退 🟡
19:35:45,Block 141,240 圈,4296.7,3384.4,4.49,4.84,1285,衰退 🟡
19:38:42,Block 140,260 圈,4297.0,3384.4,4.49,4.84,1405,衰退 🟡
19:38:42,Block 141,260 圈,4297.0,3384.4,4.49,4.84,1495,衰退 🟡
19:41:38,Block 140,280 圈,4296.7,3384.4,4.49,4.84,1281,衰退 🟡
19:41:38,Block 141,280 圈,4296.7,3384.4,4.49,4.84,1299,衰退 🟡
19:44:34,Block 140,300 圈,4296.9,3384.4,4.49,4.84,1163,衰退 🟡
19:44:34,Block 141,300 圈,4296.9,3384.4,4.49,4.84,1310,衰退 🟡
19:47:31,Block 140,320 圈,4296.9,3384.4,4.49,4.84,1199,衰退 🟡
19:47:31,Block 141,320 圈,4296.9,3384.4,4.49,4.84,1292,衰退 🟡
19:50:27,Block 140,340 圈,4296.6,3384.4,4.49,4.84,1214,衰退 🟡
19:50:27,Block 141,340 圈,4296.6,3384.4,4.49,4.84,1279,衰退 🟡
19:53:23,Block 140,360 圈,4296.9,3384.4,4.49,4.84,1195,衰退 🟡
19:53:23,Block 141,360 圈,4296.9,3384.4,4.49,4.84,1320,衰退 🟡
19:56:20,Block 140,380 圈,4296.6,3384.4,4.49,4.84,1181,衰退 🟡
19:56:20,Block 141,380 圈,4296.6,3384.4,4.49,4.84,1308,衰退 🟡
19:59:16,Block 140,400 圈,4296.7,3384.4,4.49,4.84,1237,衰退 🟡
19:59:16,Block 141,400 圈,4296.7,3384.4,4.49,4.84,1290,衰退 🟡
20:02:13,Block 140,420 圈,4296.6,3384.4,4.49,4.84,1185,衰退 🟡
20:02:13,Block 141,420 圈,4296.6,3384.4,4.49,4.84,1338,衰退 🟡
20:05:09,Block 140,440 圈,4296.8,3384.4,4.49,4.84,1198,衰退 🟡
20:05:09,Block 141,440 圈,4296.8,3384.4,4.49,4.84,1297,衰退 🟡
20:08:05,Block 140,460 圈,4296.9,3384.4,4.49,4.84,1177,衰退 🟡
20:08:05,Block 141,460 圈,4296.9,3384.4,4.49,4.84,1354,衰退 🟡
20:11:02,Block 140,480 圈,4296.8,3384.4,4.49,4.84,1155,衰退 🟡
20:11:02,Block 141,480 圈,4296.8,3384.4,4.49,4.84,1390,衰退 🟡
20:13:58,Block 140,500 圈,4296.8,3384.4,4.49,4.84,1216,衰退 🟡
20:13:58,Block 141,500 圈,4296.8,3384.4,4.49,4.84,1303,衰退 🟡
20:16:54,Block 140,520 圈,4296.6,3384.4,4.49,4.84,1236,衰退 🟡
20:16:54,Block 141,520 圈,4296.6,3384.4,4.49,4.84,1318,衰退 🟡
20:19:51,Block 140,540 圈,4296.6,3384.4,4.49,4.84,1203,衰退 🟡
20:19:51,Block 141,540 圈,4296.6,3384.4,4.49,4.84,1335,衰退 🟡
20:22:47,Block 140,560 圈,4296.6,3384.4,4.49,4.84,1276,衰退 🟡
20:22:47,Block 141,560 圈,4296.6,3384.4,4.49,4.84,1336,衰退 🟡
20:25:43,Block 140,580 圈,4296.6,3384.4,4.49,4.84,1253,衰退 🟡
20:25:44,Block 141,580 圈,4296.6,3384.4,4.49,4.84,1374,衰退 🟡
20:28:40,Block 140,600 圈,4296.8,3384.4,4.49,4.84,1214,衰退 🟡
20:28:40,Block 141,600 圈,4296.8,3384.4,4.49,4.84,1340,衰退 🟡
20:31:36,Block 140,620 圈,4296.6,3384.4,4.49,4.84,1203,衰退 🟡
20:31:36,Block 141,620 圈,4296.6,3384.4,4.49,4.84,1347,衰退 🟡
20:34:33,Block 140,640 圈,4296.8,3384.4,4.49,4.84,1269,衰退 🟡
20:34:33,Block 141,640 圈,4296.8,3384.4,4.49,4.84,1339,衰退 🟡
20:37:29,Block 140,660 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
20:37:29,Block 141,660 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
20:40:25,Block 140,680 圈,4296.6,3384.4,4.49,4.84,1237,衰退 🟡
20:40:25,Block 141,680 圈,4296.6,3384.4,4.49,4.84,1338,衰退 🟡
20:43:22,Block 140,700 圈,4296.6,3384.4,4.49,4.84,1238,衰退 🟡
20:43:22,Block 141,700 圈,4296.6,3384.4,4.49,4.84,1307,衰退 🟡
20:46:18,Block 140,720 圈,4296.6,3384.4,4.49,4.84,1178,衰退 🟡
20:46:18,Block 141,720 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
20:49:14,Block 140,740 圈,4296.6,3384.4,4.49,4.84,1189,衰退 🟡
20:49:14,Block 141,740 圈,4296.6,3384.4,4.49,4.84,1339,衰退 🟡
20:52:11,Block 140,760 圈,4296.8,3384.4,4.49,4.84,1189,衰退 🟡
20:52:11,Block 141,760 圈,4296.8,3384.4,4.49,4.84,1340,衰退 🟡
20:55:07,Block 140,780 圈,4296.6,3384.4,4.49,4.84,1226,衰退 🟡
20:55:07,Block 141,780 圈,4296.6,3384.4,4.49,4.84,1393,衰退 🟡
20:58:04,Block 140,800 圈,4296.5,3384.4,4.49,4.84,1202,衰退 🟡
20:58:04,Block 141,800 圈,4296.5,3384.4,4.49,4.84,1371,衰退 🟡
21:01:00,Block 140,820 圈,4296.6,3384.4,4.49,4.84,1210,衰退 🟡
21:01:00,Block 141,820 圈,4296.6,3384.4,4.49,4.84,1310,衰退 🟡
21:03:56,Block 140,840 圈,4296.6,3384.4,4.49,4.84,1219,衰退 🟡
21:03:56,Block 141,840 圈,4296.6,3384.4,4.49,4.84,1363,衰退 🟡
21:06:53,Block 140,860 圈,4296.6,3384.4,4.49,4.84,1203,衰退 🟡
21:06:53,Block 141,860 圈,4296.6,3384.4,4.49,4.84,1327,衰退 🟡
21:09:49,Block 140,880 圈,4296.6,3384.4,4.49,4.84,1232,衰退 🟡
21:09:49,Block 141,880 圈,4296.6,3384.4,4.49,4.84,1326,衰退 🟡
21:12:45,Block 140,900 圈,4296.6,3384.4,4.49,4.84,1218,衰退 🟡
21:12:45,Block 141,900 圈,4296.6,3384.4,4.49,4.84,1341,衰退 🟡
21:15:42,Block 140,920 圈,4296.6,3384.4,4.49,4.84,1243,衰退 🟡
21:15:42,Block 141,920 圈,4296.6,3384.4,4.49,4.84,1323,衰退 🟡
