时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
11:46:30,Block 142,1,792.8,3384.4,4.49,4.84,1589,全毁 🔴
11:46:30,Block 143,1,792.8,3384.4,4.49,4.84,1785,全毁 🔴
11:46:43,Block 142,1,0.0,3384.4,0.00,4.84,1839,全毁 🔴
11:46:43,Block 143,1,0.0,3384.4,0.00,4.84,2047,全毁 🔴
11:46:51,Block 142,2,0.0,3384.4,0.00,4.84,2013,全毁 🔴
11:46:51,Block 143,2,0.0,3384.4,0.00,4.84,2122,全毁 🔴
11:46:59,Block 142,3,0.0,3384.4,0.00,4.84,2048,全毁 🔴
11:46:59,Block 143,3,0.0,3384.4,0.00,4.84,2243,全毁 🔴
11:47:06,Block 142,4,0.0,3384.4,0.00,4.84,2089,全毁 🔴
11:47:06,Block 143,4,0.0,3384.4,0.00,4.84,2245,全毁 🔴
11:47:14,Block 142,5,0.0,3384.4,0.00,4.84,2217,全毁 🔴
11:47:14,Block 143,5,0.0,3384.4,0.00,4.84,2303,全毁 🔴
11:47:22,Block 142,6,0.0,3384.4,0.00,4.84,2197,全毁 🔴
11:47:22,Block 143,6,0.0,3384.4,0.00,4.84,2414,全毁 🔴
11:47:30,Block 142,7,0.0,3384.4,0.00,4.84,2302,全毁 🔴
11:47:30,Block 143,7,0.0,3384.4,0.00,4.84,2440,全毁 🔴
11:47:38,Block 142,8,0.0,3384.4,0.00,4.84,2322,全毁 🔴
11:47:38,Block 143,8,0.0,3384.4,0.00,4.84,2574,全毁 🔴
11:47:45,Block 142,9,0.0,3384.4,0.00,4.84,2312,全毁 🔴
11:47:45,Block 143,9,0.0,3384.4,0.00,4.84,2495,全毁 🔴
11:47:53,Block 142,10,0.0,3384.4,0.00,4.84,2371,全毁 🔴
11:47:53,Block 143,10,0.0,3384.4,0.00,4.84,2526,全毁 🔴
11:48:01,Block 142,11,0.0,3384.4,0.00,4.84,2381,全毁 🔴
11:48:01,Block 143,11,0.0,3384.4,0.00,4.84,2591,全毁 🔴
11:48:09,Block 142,12,0.0,3384.4,0.00,4.84,2413,全毁 🔴
11:48:09,Block 143,12,0.0,3384.4,0.00,4.84,2597,全毁 🔴
11:48:17,Block 142,13,0.0,3384.4,0.00,4.84,2463,全毁 🔴
11:48:17,Block 143,13,0.0,3384.4,0.00,4.84,2634,全毁 🔴
11:48:24,Block 142,14,0.0,3384.4,0.00,4.84,2565,全毁 🔴
11:48:24,Block 143,14,0.0,3384.4,0.00,4.84,2669,全毁 🔴
11:48:32,Block 142,15,0.0,3384.4,0.00,4.84,2516,全毁 🔴
11:48:32,Block 143,15,0.0,3384.4,0.00,4.84,2652,全毁 🔴
11:48:40,Block 142,16,0.0,3384.4,0.00,4.84,2527,全毁 🔴
11:48:40,Block 143,16,0.0,3384.4,0.00,4.84,2736,全毁 🔴
11:48:48,Block 142,17,0.0,3384.4,0.00,4.84,2554,全毁 🔴
11:48:48,Block 143,17,0.0,3384.4,0.00,4.84,2706,全毁 🔴
11:48:56,Block 142,18,0.0,3384.4,0.00,4.84,2596,全毁 🔴
11:48:56,Block 143,18,0.0,3384.4,0.00,4.84,2747,全毁 🔴
11:49:03,Block 142,19,0.0,3384.4,0.00,4.84,2584,全毁 🔴
11:49:03,Block 143,19,0.0,3384.4,0.00,4.84,2772,全毁 🔴
11:49:11,Block 142,20,0.0,3384.4,0.00,4.84,2663,全毁 🔴
11:49:11,Block 143,20,0.0,3384.4,0.00,4.84,2759,全毁 🔴
11:49:19,Block 142,21,0.0,3384.4,0.00,4.84,2595,全毁 🔴
11:49:19,Block 143,21,0.0,3384.4,0.00,4.84,2814,全毁 🔴
11:49:27,Block 142,22,0.0,3384.4,0.00,4.84,2712,全毁 🔴
11:49:27,Block 143,22,0.0,3384.4,0.00,4.84,2810,全毁 🔴
11:49:35,Block 142,23,0.0,3384.4,0.00,4.84,2703,全毁 🔴
11:49:35,Block 143,23,0.0,3384.4,0.00,4.84,2828,全毁 🔴
11:49:42,Block 142,24,0.0,3384.4,0.00,4.84,2675,全毁 🔴
11:49:42,Block 143,24,0.0,3384.4,0.00,4.84,2902,全毁 🔴
11:49:50,Block 142,25,0.0,3384.4,0.00,4.84,2702,全毁 🔴
11:49:50,Block 143,25,0.0,3384.4,0.00,4.84,2874,全毁 🔴
11:49:58,Block 142,26,0.0,3384.4,0.00,4.84,2702,全毁 🔴
11:49:58,Block 143,26,0.0,3384.4,0.00,4.84,2871,全毁 🔴
