时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
10:41:19,Block 142,1,926.5,3384.4,4.41,4.84,430,衰退 🟡
10:41:19,Block 143,1,926.5,3384.4,4.41,4.84,463,衰退 🟡
10:42:25,Block 142,1,0.0,3384.4,0.00,4.84,608,衰退 🟡
10:42:25,Block 143,1,0.0,3384.4,0.00,4.84,623,衰退 🟡
10:42:33,Block 142,2,0.0,3384.4,0.00,4.84,622,衰退 🟡
10:42:33,Block 143,2,0.0,3384.4,0.00,4.84,721,衰退 🟡
10:42:41,Block 142,3,0.0,3384.4,0.00,4.84,715,衰退 🟡
10:42:41,Block 143,3,0.0,3384.4,0.00,4.84,692,衰退 🟡
10:42:49,Block 142,4,0.0,3384.4,0.00,4.84,711,衰退 🟡
10:42:49,Block 143,4,0.0,3384.4,0.00,4.84,720,衰退 🟡
10:42:56,Block 142,5,0.0,3384.4,0.00,4.84,719,衰退 🟡
10:42:57,Block 143,5,0.0,3384.4,0.00,4.84,715,衰退 🟡
10:43:04,Block 142,6,0.0,3384.4,0.00,4.84,709,衰退 🟡
10:43:04,Block 143,6,0.0,3384.4,0.00,4.84,708,衰退 🟡
10:43:12,Block 142,7,0.0,3384.4,0.00,4.84,685,衰退 🟡
10:43:12,Block 143,7,0.0,3384.4,0.00,4.84,748,衰退 🟡
10:43:20,Block 142,8,0.0,3384.4,0.00,4.84,768,衰退 🟡
10:43:20,Block 143,8,0.0,3384.4,0.00,4.84,787,衰退 🟡
10:43:28,Block 142,9,0.0,3384.4,0.00,4.84,751,衰退 🟡
10:43:28,Block 143,9,0.0,3384.4,0.00,4.84,751,衰退 🟡
10:43:36,Block 142,10,0.0,3384.4,0.00,4.84,756,衰退 🟡
10:43:36,Block 143,10,0.0,3384.4,0.00,4.84,767,衰退 🟡
10:43:43,Block 142,11,0.0,3384.4,0.00,4.84,803,衰退 🟡
10:43:43,Block 143,11,0.0,3384.4,0.00,4.84,767,衰退 🟡
10:43:51,Block 142,12,0.0,3384.4,0.00,4.84,754,衰退 🟡
10:43:51,Block 143,12,0.0,3384.4,0.00,4.84,734,衰退 🟡
10:43:59,Block 142,13,0.0,3384.4,0.00,4.84,786,衰退 🟡
10:43:59,Block 143,13,0.0,3384.4,0.00,4.84,800,衰退 🟡
10:44:07,Block 142,14,0.0,3384.4,0.00,4.84,803,衰退 🟡
10:44:07,Block 143,14,0.0,3384.4,0.00,4.84,818,衰退 🟡
10:44:15,Block 142,15,0.0,3384.4,0.00,4.84,774,衰退 🟡
10:44:15,Block 143,15,0.0,3384.4,0.00,4.84,820,衰退 🟡
10:44:22,Block 142,16,0.0,3384.4,0.00,4.84,813,衰退 🟡
10:44:22,Block 143,16,0.0,3384.4,0.00,4.84,777,衰退 🟡
10:44:30,Block 142,17,0.0,3384.4,0.00,4.84,802,衰退 🟡
10:44:30,Block 143,17,0.0,3384.4,0.00,4.84,825,衰退 🟡
10:44:38,Block 142,18,0.0,3384.4,0.00,4.84,793,衰退 🟡
10:44:38,Block 143,18,0.0,3384.4,0.00,4.84,823,衰退 🟡
10:44:46,Block 142,19,0.0,3384.4,0.00,4.84,821,衰退 🟡
10:44:46,Block 143,19,0.0,3384.4,0.00,4.84,851,衰退 🟡
10:44:54,Block 142,20,0.0,3384.4,0.00,4.84,808,衰退 🟡
10:44:54,Block 143,20,0.0,3384.4,0.00,4.84,833,衰退 🟡
