时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
14:14:46,Block 82,1,795.5,3384.4,4.49,4.84,1031,衰退 🟡
14:14:46,Block 83,1,795.5,3384.4,4.49,4.84,1155,衰退 🟡
14:15:56,Block 82,1,0.0,3384.4,0.00,4.84,1366,衰退 🟡
14:15:56,Block 83,1,0.0,3384.4,0.00,4.84,1489,衰退 🟡
14:17:04,Block 82,1,0.0,3384.4,0.00,4.84,1392,衰退 🟡
14:17:04,Block 83,1,0.0,3384.4,0.00,4.84,1574,全毁 🔴
14:18:12,Block 82,1,0.0,3384.4,0.00,4.84,1509,全毁 🔴
14:18:12,Block 83,1,0.0,3384.4,0.00,4.84,1566,全毁 🔴
14:19:20,Block 82,1,0.0,3384.4,0.00,4.84,1549,全毁 🔴
14:19:20,Block 83,1,0.0,3384.4,0.00,4.84,1643,全毁 🔴
14:20:27,Block 82,1,0.0,3384.4,0.00,4.84,1587,全毁 🔴
14:20:27,Block 83,1,0.0,3384.4,0.00,4.84,1713,全毁 🔴
14:21:35,Block 82,1,0.0,3384.4,0.00,4.84,1641,全毁 🔴
14:21:35,Block 83,1,0.0,3384.4,0.00,4.84,1745,全毁 🔴
14:22:43,Block 82,1,0.0,3384.4,0.00,4.84,1694,全毁 🔴
14:22:43,Block 83,1,0.0,3384.4,0.00,4.84,1692,全毁 🔴
14:23:51,Block 82,1,0.0,3384.4,0.00,4.84,1680,全毁 🔴
14:23:51,Block 83,1,0.0,3384.4,0.00,4.84,1783,全毁 🔴
14:24:59,Block 82,1,0.0,3384.4,0.00,4.84,1635,全毁 🔴
14:24:59,Block 83,1,0.0,3384.4,0.00,4.84,1772,全毁 🔴
14:26:07,Block 82,1,0.0,3384.4,0.00,4.84,1669,全毁 🔴
14:26:07,Block 83,1,0.0,3384.4,0.00,4.84,1758,全毁 🔴
14:27:15,Block 82,1,0.0,3384.4,0.00,4.84,1648,全毁 🔴
14:27:15,Block 83,1,0.0,3384.4,0.00,4.84,1746,全毁 🔴
14:28:23,Block 82,1,0.0,3384.4,0.00,4.84,1648,全毁 🔴
14:28:23,Block 83,1,0.0,3384.4,0.00,4.84,1880,全毁 🔴
14:29:30,Block 82,1,0.0,3384.4,0.00,4.84,1654,全毁 🔴
14:29:30,Block 83,1,0.0,3384.4,0.00,4.84,1791,全毁 🔴
14:30:38,Block 82,1,0.0,3384.4,0.00,4.84,1697,全毁 🔴
14:30:38,Block 83,1,0.0,3384.4,0.00,4.84,1822,全毁 🔴
14:31:46,Block 82,1,0.0,3384.4,0.00,4.84,1760,全毁 🔴
14:31:46,Block 83,1,0.0,3384.4,0.00,4.84,1863,全毁 🔴
14:32:54,Block 82,1,0.0,3384.4,0.00,4.84,1731,全毁 🔴
14:32:54,Block 83,1,0.0,3384.4,0.00,4.84,1830,全毁 🔴
14:34:02,Block 82,1,0.0,3384.4,0.00,4.84,1698,全毁 🔴
14:34:02,Block 83,1,0.0,3384.4,0.00,4.84,1922,全毁 🔴
14:35:10,Block 82,1,0.0,3384.4,0.00,4.84,1719,全毁 🔴
14:35:10,Block 83,1,0.0,3384.4,0.00,4.84,1950,全毁 🔴
14:36:18,Block 82,1,0.0,3384.4,0.00,4.84,1756,全毁 🔴
14:36:18,Block 83,1,0.0,3384.4,0.00,4.84,1905,全毁 🔴
14:37:26,Block 82,1,0.0,3384.4,0.00,4.84,1766,全毁 🔴
14:37:26,Block 83,1,0.0,3384.4,0.00,4.84,1905,全毁 🔴
14:38:34,Block 82,1,0.0,3384.4,0.00,4.84,1785,全毁 🔴
14:38:34,Block 83,1,0.0,3384.4,0.00,4.84,1872,全毁 🔴
14:39:42,Block 82,1,0.0,3384.4,0.00,4.84,1819,全毁 🔴
14:39:42,Block 83,1,0.0,3384.4,0.00,4.84,1932,全毁 🔴
14:40:50,Block 82,1,0.0,3384.4,0.00,4.84,1834,全毁 🔴
14:40:50,Block 83,1,0.0,3384.4,0.00,4.84,1944,全毁 🔴
14:41:57,Block 82,1,0.0,3384.4,0.00,4.84,1736,全毁 🔴
14:41:57,Block 83,1,0.0,3384.4,0.00,4.84,1972,全毁 🔴
14:43:05,Block 82,1,0.0,3384.4,0.00,4.84,1854,全毁 🔴
14:43:05,Block 83,1,0.0,3384.4,0.00,4.84,1970,全毁 🔴
14:44:13,Block 82,1,0.0,3384.4,0.00,4.84,1773,全毁 🔴
14:44:13,Block 83,1,0.0,3384.4,0.00,4.84,1974,全毁 🔴
14:45:21,Block 82,1,0.0,3384.4,0.00,4.84,1890,全毁 🔴
14:45:21,Block 83,1,0.0,3384.4,0.00,4.84,1937,全毁 🔴
14:46:29,Block 82,1,0.0,3384.4,0.00,4.84,1798,全毁 🔴
14:46:29,Block 83,1,0.0,3384.4,0.00,4.84,1968,全毁 🔴
14:47:37,Block 82,1,0.0,3384.4,0.00,4.84,1856,全毁 🔴
14:47:37,Block 83,1,0.0,3384.4,0.00,4.84,1941,全毁 🔴
14:48:45,Block 82,1,0.0,3384.4,0.00,4.84,1889,全毁 🔴
14:48:45,Block 83,1,0.0,3384.4,0.00,4.84,1958,全毁 🔴
14:49:53,Block 82,1,0.0,3384.4,0.00,4.84,1841,全毁 🔴
14:49:53,Block 83,1,0.0,3384.4,0.00,4.84,2014,全毁 🔴
14:51:01,Block 82,1,0.0,3384.4,0.00,4.84,1889,全毁 🔴
14:51:01,Block 83,1,0.0,3384.4,0.00,4.84,2013,全毁 🔴
14:52:09,Block 82,1,0.0,3384.4,0.00,4.84,1969,全毁 🔴
14:52:09,Block 83,1,0.0,3384.4,0.00,4.84,2003,全毁 🔴
14:53:16,Block 82,1,0.0,3384.4,0.00,4.84,1885,全毁 🔴
14:53:16,Block 83,1,0.0,3384.4,0.00,4.84,2013,全毁 🔴
14:54:24,Block 82,1,0.0,3384.4,0.00,4.84,1891,全毁 🔴
14:54:24,Block 83,1,0.0,3384.4,0.00,4.84,2015,全毁 🔴
14:55:32,Block 82,1,0.0,3384.4,0.00,4.84,1878,全毁 🔴
14:55:32,Block 83,1,0.0,3384.4,0.00,4.84,2002,全毁 🔴
14:56:40,Block 82,1,0.0,3384.4,0.00,4.84,1899,全毁 🔴
14:56:40,Block 83,1,0.0,3384.4,0.00,4.84,1998,全毁 🔴
14:57:48,Block 82,1,0.0,3384.4,0.00,4.84,1874,全毁 🔴
14:57:48,Block 83,1,0.0,3384.4,0.00,4.84,2043,全毁 🔴
14:58:56,Block 82,1,0.0,3384.4,0.00,4.84,1873,全毁 🔴
14:58:56,Block 83,1,0.0,3384.4,0.00,4.84,2011,全毁 🔴
15:00:04,Block 82,1,0.0,3384.4,0.00,4.84,1878,全毁 🔴
15:00:04,Block 83,1,0.0,3384.4,0.00,4.84,2033,全毁 🔴
15:01:12,Block 82,1,0.0,3384.4,0.00,4.84,1994,全毁 🔴
15:01:12,Block 83,1,0.0,3384.4,0.00,4.84,2049,全毁 🔴
15:02:20,Block 82,1,0.0,3384.4,0.00,4.84,1901,全毁 🔴
15:02:20,Block 83,1,0.0,3384.4,0.00,4.84,2079,全毁 🔴
15:03:28,Block 82,1,0.0,3384.4,0.00,4.84,1993,全毁 🔴
15:03:28,Block 83,1,0.0,3384.4,0.00,4.84,2121,全毁 🔴
15:04:36,Block 82,1,0.0,3384.4,0.00,4.84,1973,全毁 🔴
15:04:36,Block 83,1,0.0,3384.4,0.00,4.84,1961,全毁 🔴
15:05:43,Block 82,1,0.0,3384.4,0.00,4.84,1891,全毁 🔴
15:05:43,Block 83,1,0.0,3384.4,0.00,4.84,2047,全毁 🔴
15:06:51,Block 82,1,0.0,3384.4,0.00,4.84,1964,全毁 🔴
15:06:51,Block 83,1,0.0,3384.4,0.00,4.84,2118,全毁 🔴
15:07:59,Block 82,1,0.0,3384.4,0.00,4.84,1990,全毁 🔴
15:07:59,Block 83,1,0.0,3384.4,0.00,4.84,2083,全毁 🔴
15:09:07,Block 82,1,0.0,3384.4,0.00,4.84,1907,全毁 🔴
15:09:07,Block 83,1,0.0,3384.4,0.00,4.84,2073,全毁 🔴
15:10:15,Block 82,1,0.0,3384.4,0.00,4.84,1911,全毁 🔴
