时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
14:03:48,Block 82,1,796.5,3384.4,4.49,4.84,1093,衰退 🟡
14:03:48,Block 83,1,796.5,3384.4,4.49,4.84,1200,衰退 🟡
14:03:58,Block 82,1,0.0,3384.4,0.00,4.84,1212,衰退 🟡
14:03:58,Block 83,1,0.0,3384.4,0.00,4.84,1366,衰退 🟡
14:04:06,Block 82,2,0.0,3384.4,0.00,4.84,1263,衰退 🟡
14:04:06,Block 83,2,0.0,3384.4,0.00,4.84,1503,全毁 🔴
14:04:14,Block 82,3,0.0,3384.4,0.00,4.84,1311,衰退 🟡
14:04:14,Block 83,3,0.0,3384.4,0.00,4.84,1432,衰退 🟡
14:04:22,Block 82,4,0.0,3384.4,0.00,4.84,1350,衰退 🟡
14:04:22,Block 83,4,0.0,3384.4,0.00,4.84,1540,全毁 🔴
14:04:29,Block 82,5,0.0,3384.4,0.00,4.84,1399,衰退 🟡
14:04:29,Block 83,5,0.0,3384.4,0.00,4.84,1516,全毁 🔴
14:04:37,Block 82,6,0.0,3384.4,0.00,4.84,1398,衰退 🟡
14:04:37,Block 83,6,0.0,3384.4,0.00,4.84,1490,衰退 🟡
14:04:45,Block 82,7,0.0,3384.4,0.00,4.84,1458,衰退 🟡
14:04:45,Block 83,7,0.0,3384.4,0.00,4.84,1552,全毁 🔴
14:04:53,Block 82,8,0.0,3384.4,0.00,4.84,1499,衰退 🟡
14:04:53,Block 83,8,0.0,3384.4,0.00,4.84,1591,全毁 🔴
14:05:01,Block 82,9,0.0,3384.4,0.00,4.84,1492,衰退 🟡
14:05:01,Block 83,9,0.0,3384.4,0.00,4.84,1673,全毁 🔴
14:05:09,Block 82,10,0.0,3384.4,0.00,4.84,1514,全毁 🔴
14:05:09,Block 83,10,0.0,3384.4,0.00,4.84,1698,全毁 🔴
14:05:16,Block 82,11,0.0,3384.4,0.00,4.84,1519,全毁 🔴
14:05:16,Block 83,11,0.0,3384.4,0.00,4.84,1702,全毁 🔴
14:05:24,Block 82,12,0.0,3384.4,0.00,4.84,1520,全毁 🔴
14:05:24,Block 83,12,0.0,3384.4,0.00,4.84,1699,全毁 🔴
14:05:32,Block 82,13,0.0,3384.4,0.00,4.84,1538,全毁 🔴
14:05:32,Block 83,13,0.0,3384.4,0.00,4.84,1752,全毁 🔴
14:05:40,Block 82,14,0.0,3384.4,0.00,4.84,1541,全毁 🔴
14:05:40,Block 83,14,0.0,3384.4,0.00,4.84,1725,全毁 🔴
14:05:48,Block 82,15,0.0,3384.4,0.00,4.84,1639,全毁 🔴
14:05:48,Block 83,15,0.0,3384.4,0.00,4.84,1783,全毁 🔴
14:05:55,Block 82,16,0.0,3384.4,0.00,4.84,1596,全毁 🔴
14:05:55,Block 83,16,0.0,3384.4,0.00,4.84,1780,全毁 🔴
14:06:03,Block 82,17,0.0,3384.4,0.00,4.84,1620,全毁 🔴
14:06:03,Block 83,17,0.0,3384.4,0.00,4.84,1727,全毁 🔴
14:06:11,Block 82,18,0.0,3384.4,0.00,4.84,1600,全毁 🔴
14:06:11,Block 83,18,0.0,3384.4,0.00,4.84,1804,全毁 🔴
14:06:19,Block 82,19,0.0,3384.4,0.00,4.84,1626,全毁 🔴
14:06:19,Block 83,19,0.0,3384.4,0.00,4.84,1748,全毁 🔴
14:06:27,Block 82,20,0.0,3384.4,0.00,4.84,1658,全毁 🔴
14:06:27,Block 83,20,0.0,3384.4,0.00,4.84,1847,全毁 🔴
14:06:34,Block 82,21,0.0,3384.4,0.00,4.84,1672,全毁 🔴
14:06:34,Block 83,21,0.0,3384.4,0.00,4.84,1823,全毁 🔴
14:06:42,Block 82,22,0.0,3384.4,0.00,4.84,1638,全毁 🔴
14:06:42,Block 83,22,0.0,3384.4,0.00,4.84,1798,全毁 🔴
14:06:50,Block 82,23,0.0,3384.4,0.00,4.84,1637,全毁 🔴
14:06:50,Block 83,23,0.0,3384.4,0.00,4.84,1760,全毁 🔴
14:06:58,Block 82,24,0.0,3384.4,0.00,4.84,1661,全毁 🔴
14:06:58,Block 83,24,0.0,3384.4,0.00,4.84,1794,全毁 🔴
14:07:06,Block 82,25,0.0,3384.4,0.00,4.84,1696,全毁 🔴
