时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
12:44:42,Block 82,1,795.6,3384.4,4.49,4.84,1330,衰退 🟡
12:44:42,Block 83,1,795.6,3384.4,4.49,4.84,1436,衰退 🟡
12:45:55,Block 82,1,0.0,3384.4,0.00,4.84,1744,全毁 🔴
12:45:55,Block 83,1,0.0,3384.4,0.00,4.84,1905,全毁 🔴
12:47:03,Block 82,1,0.0,3384.4,0.00,4.84,1886,全毁 🔴
12:47:03,Block 83,1,0.0,3384.4,0.00,4.84,2089,全毁 🔴
12:48:11,Block 82,1,0.0,3384.4,0.00,4.84,1953,全毁 🔴
12:48:11,Block 83,1,0.0,3384.4,0.00,4.84,2129,全毁 🔴
12:49:19,Block 82,1,0.0,3384.4,0.00,4.84,2046,全毁 🔴
12:49:19,Block 83,1,0.0,3384.4,0.00,4.84,2246,全毁 🔴
12:50:27,Block 82,1,0.0,3384.4,0.00,4.84,2094,全毁 🔴
12:50:27,Block 83,1,0.0,3384.4,0.00,4.84,2299,全毁 🔴
12:51:35,Block 82,1,0.0,3384.4,0.00,4.84,2121,全毁 🔴
12:51:35,Block 83,1,0.0,3384.4,0.00,4.84,2327,全毁 🔴
12:52:42,Block 82,1,0.0,3384.4,0.00,4.84,2189,全毁 🔴
12:52:42,Block 83,1,0.0,3384.4,0.00,4.84,2316,全毁 🔴
12:53:50,Block 82,1,0.0,3384.4,0.00,4.84,2256,全毁 🔴
12:53:50,Block 83,1,0.0,3384.4,0.00,4.84,2362,全毁 🔴
12:54:58,Block 82,1,0.0,3384.4,0.00,4.84,2287,全毁 🔴
12:54:58,Block 83,1,0.0,3384.4,0.00,4.84,2388,全毁 🔴
12:56:06,Block 82,1,0.0,3384.4,0.00,4.84,2305,全毁 🔴
12:56:06,Block 83,1,0.0,3384.4,0.00,4.84,2472,全毁 🔴
12:57:14,Block 82,1,0.0,3384.4,0.00,4.84,2322,全毁 🔴
12:57:14,Block 83,1,0.0,3384.4,0.00,4.84,2674,全毁 🔴
12:58:22,Block 82,1,0.0,3384.4,0.00,4.84,2341,全毁 🔴
12:58:22,Block 83,1,0.0,3384.4,0.00,4.84,2458,全毁 🔴
12:59:30,Block 82,1,0.0,3384.4,0.00,4.84,2410,全毁 🔴
12:59:30,Block 83,1,0.0,3384.4,0.00,4.84,2549,全毁 🔴
