时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
21:14:39,Block 200,1,970.2,3384.4,4.39,4.84,370,衰退 🟡
21:14:39,Block 201,1,970.2,3384.4,4.39,4.84,368,衰退 🟡
21:15:58,Block 200,1,0.0,3384.4,0.00,4.84,471,衰退 🟡
21:15:58,Block 201,1,0.0,3384.4,0.00,4.84,484,衰退 🟡
21:17:06,Block 200,1,0.0,3384.4,0.00,4.84,530,衰退 🟡
21:17:06,Block 201,1,0.0,3384.4,0.00,4.84,520,衰退 🟡
21:18:14,Block 200,1,0.0,3384.4,0.00,4.84,535,衰退 🟡
21:18:14,Block 201,1,0.0,3384.4,0.00,4.84,509,衰退 🟡
21:19:22,Block 200,1,0.0,3384.4,0.00,4.84,563,衰退 🟡
21:19:22,Block 201,1,0.0,3384.4,0.00,4.84,558,衰退 🟡
21:20:30,Block 200,1,0.0,3384.4,0.00,4.84,581,衰退 🟡
21:20:30,Block 201,1,0.0,3384.4,0.00,4.84,526,衰退 🟡
21:21:38,Block 200,1,0.0,3384.4,0.00,4.84,599,衰退 🟡
21:21:38,Block 201,1,0.0,3384.4,0.00,4.84,608,衰退 🟡
21:22:45,Block 200,1,0.0,3384.4,0.00,4.84,570,衰退 🟡
21:22:46,Block 201,1,0.0,3384.4,0.00,4.84,582,衰退 🟡
21:23:53,Block 200,1,0.0,3384.4,0.00,4.84,613,衰退 🟡
21:23:53,Block 201,1,0.0,3384.4,0.00,4.84,596,衰退 🟡
21:25:01,Block 200,1,0.0,3384.4,0.00,4.84,573,衰退 🟡
21:25:01,Block 201,1,0.0,3384.4,0.00,4.84,614,衰退 🟡
21:26:09,Block 200,1,0.0,3384.4,0.00,4.84,629,衰退 🟡
21:26:09,Block 201,1,0.0,3384.4,0.00,4.84,579,衰退 🟡
21:27:17,Block 200,1,0.0,3384.4,0.00,4.84,614,衰退 🟡
21:27:17,Block 201,1,0.0,3384.4,0.00,4.84,589,衰退 🟡
21:28:25,Block 200,1,0.0,3384.4,0.00,4.84,657,衰退 🟡
21:28:25,Block 201,1,0.0,3384.4,0.00,4.84,613,衰退 🟡
21:29:33,Block 200,1,0.0,3384.4,0.00,4.84,681,衰退 🟡
21:29:33,Block 201,1,0.0,3384.4,0.00,4.84,602,衰退 🟡
21:30:41,Block 200,1,0.0,3384.4,0.00,4.84,626,衰退 🟡
21:30:41,Block 201,1,0.0,3384.4,0.00,4.84,601,衰退 🟡
21:31:49,Block 200,1,0.0,3384.4,0.00,4.84,633,衰退 🟡
21:31:49,Block 201,1,0.0,3384.4,0.00,4.84,613,衰退 🟡
21:32:57,Block 200,1,0.0,3384.4,0.00,4.84,642,衰退 🟡
21:32:57,Block 201,1,0.0,3384.4,0.00,4.84,633,衰退 🟡
21:34:04,Block 200,1,0.0,3384.4,0.00,4.84,636,衰退 🟡
21:34:04,Block 201,1,0.0,3384.4,0.00,4.84,601,衰退 🟡
21:35:12,Block 200,1,0.0,3384.4,0.00,4.84,634,衰退 🟡
21:35:12,Block 201,1,0.0,3384.4,0.00,4.84,594,衰退 🟡
21:36:20,Block 200,1,0.0,3384.4,0.00,4.84,656,衰退 🟡
21:36:20,Block 201,1,0.0,3384.4,0.00,4.84,558,衰退 🟡
21:37:28,Block 200,1,0.0,3384.4,0.00,4.84,638,衰退 🟡
21:37:28,Block 201,1,0.0,3384.4,0.00,4.84,608,衰退 🟡
21:38:36,Block 200,1,0.0,3384.4,0.00,4.84,634,衰退 🟡
21:38:36,Block 201,1,0.0,3384.4,0.00,4.84,642,衰退 🟡
21:39:44,Block 200,1,0.0,3384.4,0.00,4.84,657,衰退 🟡
21:39:44,Block 201,1,0.0,3384.4,0.00,4.84,628,衰退 🟡
21:40:52,Block 200,1,0.0,3384.4,0.00,4.84,637,衰退 🟡
21:40:52,Block 201,1,0.0,3384.4,0.00,4.84,612,衰退 🟡
21:42:00,Block 200,1,0.0,3384.4,0.00,4.84,678,衰退 🟡
21:42:00,Block 201,1,0.0,3384.4,0.00,4.84,630,衰退 🟡
21:43:08,Block 200,1,0.0,3384.4,0.00,4.84,652,衰退 🟡
21:43:08,Block 201,1,0.0,3384.4,0.00,4.84,638,衰退 🟡
21:44:16,Block 200,1,0.0,3384.4,0.00,4.84,636,衰退 🟡
21:44:16,Block 201,1,0.0,3384.4,0.00,4.84,621,衰退 🟡
21:45:23,Block 200,1,0.0,3384.4,0.00,4.84,660,衰退 🟡
21:45:23,Block 201,1,0.0,3384.4,0.00,4.84,619,衰退 🟡
21:46:31,Block 200,1,0.0,3384.4,0.00,4.84,651,衰退 🟡
21:46:31,Block 201,1,0.0,3384.4,0.00,4.84,677,衰退 🟡
21:47:39,Block 200,1,0.0,3384.4,0.00,4.84,637,衰退 🟡
21:47:39,Block 201,1,0.0,3384.4,0.00,4.84,617,衰退 🟡
21:48:47,Block 200,1,0.0,3384.4,0.00,4.84,651,衰退 🟡
21:48:47,Block 201,1,0.0,3384.4,0.00,4.84,616,衰退 🟡
21:49:55,Block 200,1,0.0,3384.4,0.00,4.84,697,衰退 🟡
21:49:55,Block 201,1,0.0,3384.4,0.00,4.84,645,衰退 🟡
21:51:03,Block 200,1,0.0,3384.4,0.00,4.84,663,衰退 🟡
21:51:03,Block 201,1,0.0,3384.4,0.00,4.84,608,衰退 🟡
21:52:11,Block 200,1,0.0,3384.4,0.00,4.84,709,衰退 🟡
21:52:11,Block 201,1,0.0,3384.4,0.00,4.84,651,衰退 🟡
21:53:19,Block 200,1,0.0,3384.4,0.00,4.84,682,衰退 🟡
21:53:19,Block 201,1,0.0,3384.4,0.00,4.84,612,衰退 🟡
21:54:27,Block 200,1,0.0,3384.4,0.00,4.84,674,衰退 🟡
21:54:27,Block 201,1,0.0,3384.4,0.00,4.84,603,衰退 🟡
21:55:34,Block 200,1,0.0,3384.4,0.00,4.84,645,衰退 🟡
21:55:35,Block 201,1,0.0,3384.4,0.00,4.84,614,衰退 🟡
21:56:42,Block 200,1,0.0,3384.4,0.00,4.84,667,衰退 🟡
21:56:42,Block 201,1,0.0,3384.4,0.00,4.84,629,衰退 🟡
21:57:50,Block 200,1,0.0,3384.4,0.00,4.84,662,衰退 🟡
21:57:50,Block 201,1,0.0,3384.4,0.00,4.84,641,衰退 🟡
21:58:58,Block 200,1,0.0,3384.4,0.00,4.84,639,衰退 🟡
21:58:58,Block 201,1,0.0,3384.4,0.00,4.84,677,衰退 🟡
22:00:06,Block 200,1,0.0,3384.4,0.00,4.84,640,衰退 🟡
22:00:06,Block 201,1,0.0,3384.4,0.00,4.84,603,衰退 🟡
22:01:14,Block 200,1,0.0,3384.4,0.00,4.84,674,衰退 🟡
22:01:14,Block 201,1,0.0,3384.4,0.00,4.84,642,衰退 🟡
22:02:22,Block 200,1,0.0,3384.4,0.00,4.84,680,衰退 🟡
22:02:22,Block 201,1,0.0,3384.4,0.00,4.84,665,衰退 🟡
22:03:30,Block 200,1,0.0,3384.4,0.00,4.84,648,衰退 🟡
22:03:30,Block 201,1,0.0,3384.4,0.00,4.84,639,衰退 🟡
22:04:38,Block 200,1,0.0,3384.4,0.00,4.84,675,衰退 🟡
22:04:38,Block 201,1,0.0,3384.4,0.00,4.84,649,衰退 🟡
22:05:46,Block 200,1,0.0,3384.4,0.00,4.84,666,衰退 🟡
22:05:46,Block 201,1,0.0,3384.4,0.00,4.84,667,衰退 🟡
22:06:53,Block 200,1,0.0,3384.4,0.00,4.84,665,衰退 🟡
22:06:53,Block 201,1,0.0,3384.4,0.00,4.84,642,衰退 🟡
22:08:01,Block 200,1,0.0,3384.4,0.00,4.84,686,衰退 🟡
22:08:01,Block 201,1,0.0,3384.4,0.00,4.84,638,衰退 🟡
22:09:09,Block 200,1,0.0,3384.4,0.00,4.84,650,衰退 🟡
22:09:09,Block 201,1,0.0,3384.4,0.00,4.84,636,衰退 🟡
22:10:17,Block 200,1,0.0,3384.4,0.00,4.84,705,衰退 🟡
