时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
12:38:49,Block 150,1,964.4,3384.3,4.39,4.84,359,衰退 🟡
12:38:49,Block 151,1,964.4,3384.4,4.39,4.84,392,衰退 🟡
12:40:03,Block 150,1,0.0,3384.3,0.00,4.84,493,衰退 🟡
12:40:03,Block 151,1,0.0,3384.4,0.00,4.84,568,衰退 🟡
12:41:11,Block 150,2,0.0,3384.3,0.00,4.84,562,衰退 🟡
12:41:11,Block 151,2,0.0,3384.4,0.00,4.84,592,衰退 🟡
12:42:19,Block 150,3,0.0,3384.3,0.00,4.84,593,衰退 🟡
12:42:19,Block 151,3,0.0,3384.4,0.00,4.84,681,衰退 🟡
12:43:27,Block 150,4,0.0,3384.3,0.00,4.84,622,衰退 🟡
12:43:27,Block 151,4,0.0,3384.4,0.00,4.84,664,衰退 🟡
12:44:34,Block 150,5,0.0,3384.3,0.00,4.84,689,衰退 🟡
12:44:34,Block 151,5,0.0,3384.4,0.00,4.84,749,衰退 🟡
12:45:42,Block 150,6,0.0,3384.3,0.00,4.84,668,衰退 🟡
12:45:42,Block 151,6,0.0,3384.4,0.00,4.84,788,衰退 🟡
12:46:50,Block 150,7,0.0,3384.3,0.00,4.84,711,衰退 🟡
12:46:50,Block 151,7,0.0,3384.4,0.00,4.84,744,衰退 🟡
12:47:58,Block 150,8,0.0,3384.3,0.00,4.84,704,衰退 🟡
12:47:58,Block 151,8,0.0,3384.4,0.00,4.84,740,衰退 🟡
12:49:06,Block 150,9,0.0,3384.3,0.00,4.84,719,衰退 🟡
12:49:06,Block 151,9,0.0,3384.4,0.00,4.84,800,衰退 🟡
12:50:14,Block 150,10,0.0,3384.3,0.00,4.84,739,衰退 🟡
12:50:14,Block 151,10,0.0,3384.4,0.00,4.84,802,衰退 🟡
12:51:22,Block 150,11,0.0,3384.3,0.00,4.84,766,衰退 🟡
12:51:22,Block 151,11,0.0,3384.4,0.00,4.84,793,衰退 🟡
12:52:29,Block 150,12,0.0,3384.3,0.00,4.84,789,衰退 🟡
12:52:29,Block 151,12,0.0,3384.4,0.00,4.84,763,衰退 🟡
12:53:37,Block 150,13,0.0,3384.3,0.00,4.84,769,衰退 🟡
12:53:37,Block 151,13,0.0,3384.4,0.00,4.84,818,衰退 🟡
12:54:45,Block 150,14,0.0,3384.3,0.00,4.84,804,衰退 🟡
12:54:45,Block 151,14,0.0,3384.4,0.00,4.84,838,衰退 🟡
12:55:53,Block 150,15,0.0,3384.3,0.00,4.84,845,衰退 🟡
