时间戳,物理块,磨损圈数/读取次数,平均纯编程(μs),平均读耗时(μs),总线写带宽(MB/s),总线读带宽(MB/s),最大物理错数,健康分析
11:24:27,Block 78,10,758.1,3384.0,4.51,4.84,51,极佳 🟢
11:24:27,Block 79,10,758.1,3384.1,4.51,4.84,54,极佳 🟢
11:25:59,Block 78,20,757.9,3384.0,4.51,4.84,47,极佳 🟢
11:25:59,Block 79,20,757.9,3384.0,4.51,4.84,58,极佳 🟢
11:27:30,Block 78,30,756.6,3384.0,4.52,4.84,56,极佳 🟢
11:27:30,Block 79,30,756.6,3384.0,4.52,4.84,75,极佳 🟢
11:29:02,Block 78,40,754.4,3384.0,4.52,4.84,69,极佳 🟢
11:29:02,Block 79,40,754.4,3384.0,4.52,4.84,69,极佳 🟢
11:30:34,Block 78,50,753.8,3384.0,4.52,4.84,58,极佳 🟢
11:30:34,Block 79,50,753.8,3384.0,4.52,4.84,64,极佳 🟢
11:32:05,Block 78,60,753.6,3384.0,4.52,4.84,69,极佳 🟢
11:32:05,Block 79,60,753.6,3384.0,4.52,4.84,72,极佳 🟢
11:33:37,Block 78,70,753.2,3384.0,4.52,4.84,61,极佳 🟢
11:33:37,Block 79,70,753.2,3384.0,4.52,4.84,69,极佳 🟢
11:35:08,Block 78,80,752.9,3384.0,4.52,4.84,61,极佳 🟢
11:35:08,Block 79,80,752.9,3384.0,4.52,4.84,74,极佳 🟢
11:36:40,Block 78,90,752.8,3384.0,4.52,4.84,54,极佳 🟢
11:36:40,Block 79,90,752.8,3384.0,4.52,4.84,54,极佳 🟢
11:38:11,Block 78,100,752.2,3384.0,4.52,4.84,63,极佳 🟢
11:38:11,Block 79,100,752.2,3384.0,4.52,4.84,57,极佳 🟢
11:39:43,Block 78,110,752.4,3384.0,4.52,4.84,70,极佳 🟢
11:39:43,Block 79,110,752.4,3384.0,4.52,4.84,81,极佳 🟢
11:41:15,Block 78,120,751.3,3384.0,4.52,4.84,69,极佳 🟢
11:41:15,Block 79,120,751.3,3384.0,4.52,4.84,79,极佳 🟢
11:42:46,Block 78,130,751.9,3384.0,4.52,4.84,62,极佳 🟢
11:42:46,Block 79,130,751.9,3384.0,4.52,4.84,64,极佳 🟢
11:44:18,Block 78,140,751.8,3384.0,4.52,4.84,69,极佳 🟢
11:44:18,Block 79,140,751.8,3384.0,4.52,4.84,69,极佳 🟢
11:45:49,Block 78,150,751.2,3384.0,4.52,4.84,69,极佳 🟢
11:45:49,Block 79,150,751.2,3384.0,4.52,4.84,73,极佳 🟢
11:47:21,Block 78,160,750.7,3384.0,4.52,4.84,64,极佳 🟢
11:47:21,Block 79,160,750.7,3384.0,4.52,4.84,65,极佳 🟢
11:48:52,Block 78,170,750.7,3384.0,4.52,4.84,61,极佳 🟢
11:48:52,Block 79,170,750.7,3384.0,4.52,4.84,73,极佳 🟢
11:50:24,Block 78,180,750.8,3384.0,4.52,4.84,66,极佳 🟢
11:50:24,Block 79,180,750.8,3384.0,4.52,4.84,80,极佳 🟢
11:51:55,Block 78,190,750.3,3384.0,4.52,4.84,75,极佳 🟢
11:51:55,Block 79,190,750.3,3384.0,4.52,4.84,55,极佳 🟢
11:53:27,Block 78,200,750.4,3384.0,4.52,4.84,66,极佳 🟢
11:53:27,Block 79,200,750.4,3384.0,4.52,4.84,65,极佳 🟢
11:54:58,Block 78,210,750.1,3384.0,4.52,4.84,74,极佳 🟢
11:54:58,Block 79,210,750.1,3384.0,4.52,4.84,63,极佳 🟢
11:56:30,Block 78,220,750.0,3384.0,4.52,4.84,65,极佳 🟢
11:56:30,Block 79,220,750.0,3384.0,4.52,4.84,73,极佳 🟢
11:58:01,Block 78,230,750.0,3384.0,4.52,4.84,64,极佳 🟢
11:58:01,Block 79,230,750.0,3384.0,4.52,4.84,72,极佳 🟢
11:59:33,Block 78,240,749.5,3384.0,4.52,4.84,83,极佳 🟢
11:59:33,Block 79,240,749.5,3384.0,4.52,4.84,80,极佳 🟢
12:01:04,Block 78,250,749.6,3384.0,4.52,4.84,78,极佳 🟢
12:01:04,Block 79,250,749.6,3384.0,4.52,4.84,68,极佳 🟢
12:02:36,Block 78,260,749.2,3384.0,4.52,4.84,79,极佳 🟢
12:02:36,Block 79,260,749.2,3384.0,4.52,4.84,65,极佳 🟢
12:04:07,Block 78,270,749.5,3384.0,4.52,4.84,81,极佳 🟢
12:04:07,Block 79,270,749.5,3384.0,4.52,4.84,61,极佳 🟢
12:05:39,Block 78,280,749.4,3384.0,4.52,4.84,69,极佳 🟢
12:05:39,Block 79,280,749.4,3384.0,4.52,4.84,60,极佳 🟢
12:07:10,Block 78,290,749.0,3384.0,4.52,4.84,70,极佳 🟢
12:07:10,Block 79,290,749.0,3384.0,4.52,4.84,59,极佳 🟢
12:08:42,Block 78,300,749.1,3384.0,4.52,4.84,71,极佳 🟢
12:08:42,Block 79,300,749.1,3384.0,4.52,4.84,68,极佳 🟢
12:10:13,Block 78,310,749.1,3384.0,4.52,4.84,67,极佳 🟢
12:10:13,Block 79,310,749.1,3384.0,4.52,4.84,72,极佳 🟢
12:11:45,Block 78,320,749.0,3384.0,4.52,4.84,66,极佳 🟢
12:11:45,Block 79,320,749.0,3384.0,4.52,4.84,69,极佳 🟢
12:13:16,Block 78,330,749.1,3384.0,4.52,4.84,69,极佳 🟢
12:13:16,Block 79,330,749.1,3384.0,4.52,4.84,65,极佳 🟢
12:14:48,Block 78,340,749.0,3384.0,4.52,4.84,75,极佳 🟢
12:14:48,Block 79,340,749.0,3384.0,4.52,4.84,69,极佳 🟢
12:16:19,Block 78,350,748.8,3384.0,4.52,4.84,75,极佳 🟢
12:16:19,Block 79,350,748.8,3384.0,4.52,4.84,76,极佳 🟢
12:17:51,Block 78,360,748.4,3384.0,4.52,4.84,73,极佳 🟢
12:17:51,Block 79,360,748.4,3384.0,4.52,4.84,70,极佳 🟢
12:19:22,Block 78,370,748.6,3384.0,4.52,4.84,60,极佳 🟢
12:19:22,Block 79,370,748.6,3384.0,4.52,4.84,76,极佳 🟢
12:20:54,Block 78,380,748.3,3384.0,4.52,4.84,67,极佳 🟢
12:20:54,Block 79,380,748.3,3384.0,4.52,4.84,68,极佳 🟢
12:22:25,Block 78,390,748.2,3384.0,4.52,4.84,64,极佳 🟢
12:22:25,Block 79,390,748.2,3384.0,4.52,4.84,64,极佳 🟢
12:23:57,Block 78,400,748.7,3384.0,4.52,4.84,58,极佳 🟢
12:23:57,Block 79,400,748.7,3384.0,4.52,4.84,68,极佳 🟢
12:25:28,Block 78,410,748.4,3384.0,4.52,4.84,63,极佳 🟢
12:25:28,Block 79,410,748.4,3384.0,4.52,4.84,54,极佳 🟢
12:27:00,Block 78,420,748.6,3384.0,4.52,4.84,59,极佳 🟢
12:27:00,Block 79,420,748.6,3384.0,4.52,4.84,55,极佳 🟢
12:28:31,Block 78,430,748.3,3384.0,4.52,4.84,52,极佳 🟢
12:28:31,Block 79,430,748.3,3384.0,4.52,4.84,71,极佳 🟢
12:30:03,Block 78,440,748.3,3384.0,4.52,4.84,69,极佳 🟢
12:30:03,Block 79,440,748.3,3384.0,4.52,4.84,63,极佳 🟢
12:31:34,Block 78,450,748.3,3384.0,4.52,4.84,47,极佳 🟢
12:31:34,Block 79,450,748.3,3384.0,4.52,4.84,53,极佳 🟢
12:33:06,Block 78,460,748.1,3384.0,4.52,4.84,76,极佳 🟢
12:33:06,Block 79,460,748.1,3384.0,4.52,4.84,66,极佳 🟢
12:34:37,Block 78,470,748.2,3384.0,4.52,4.84,54,极佳 🟢
12:34:37,Block 79,470,748.2,3384.0,4.52,4.84,73,极佳 🟢
12:36:09,Block 78,480,747.9,3384.0,4.52,4.84,59,极佳 🟢
12:36:09,Block 79,480,747.9,3384.0,4.52,4.84,53,极佳 🟢
12:37:40,Block 78,490,748.2,3384.0,4.52,4.84,61,极佳 🟢
12:37:40,Block 79,490,748.2,3384.0,4.52,4.84,78,极佳 🟢
12:39:12,Block 78,500,747.9,3384.0,4.52,4.84,59,极佳 🟢
12:39:12,Block 79,500,747.9,3384.0,4.52,4.84,67,极佳 🟢
12:40:43,Block 78,510,747.7,3384.0,4.52,4.84,67,极佳 🟢
12:40:43,Block 79,510,747.7,3384.0,4.52,4.84,67,极佳 🟢
12:42:15,Block 78,520,747.8,3384.0,4.52,4.84,47,极佳 🟢
12:42:15,Block 79,520,747.8,3384.0,4.52,4.84,53,极佳 🟢
12:43:46,Block 78,530,747.5,3384.0,4.52,4.84,52,极佳 🟢
12:43:46,Block 79,530,747.5,3384.0,4.52,4.84,47,极佳 🟢
12:45:18,Block 78,540,747.7,3384.0,4.52,4.84,67,极佳 🟢
12:45:18,Block 79,540,747.7,3384.0,4.52,4.84,62,极佳 🟢
12:46:49,Block 78,550,747.9,3384.0,4.52,4.84,53,极佳 🟢
12:46:49,Block 79,550,747.9,3384.0,4.52,4.84,56,极佳 🟢
12:48:21,Block 78,560,747.8,3384.0,4.52,4.84,72,极佳 🟢
12:48:21,Block 79,560,747.8,3384.0,4.52,4.84,61,极佳 🟢
12:49:52,Block 78,570,747.8,3384.0,4.52,4.84,46,极佳 🟢
12:49:52,Block 79,570,747.8,3384.0,4.52,4.84,71,极佳 🟢
12:51:24,Block 78,580,747.7,3384.0,4.52,4.84,55,极佳 🟢
12:51:24,Block 79,580,747.7,3384.0,4.52,4.84,52,极佳 🟢
12:52:55,Block 78,590,747.7,3384.0,4.52,4.84,63,极佳 🟢
12:52:55,Block 79,590,747.7,3384.0,4.52,4.84,63,极佳 🟢
12:54:27,Block 78,600,747.6,3384.0,4.52,4.84,57,极佳 🟢
12:54:27,Block 79,600,747.6,3384.0,4.52,4.84,51,极佳 🟢
12:55:58,Block 78,610,747.3,3384.0,4.52,4.84,58,极佳 🟢
12:55:58,Block 79,610,747.3,3384.0,4.52,4.84,53,极佳 🟢
12:57:30,Block 78,620,747.5,3384.0,4.52,4.84,60,极佳 🟢
12:57:30,Block 79,620,747.5,3384.0,4.52,4.84,50,极佳 🟢
12:59:01,Block 78,630,747.2,3384.0,4.52,4.84,50,极佳 🟢
12:59:01,Block 79,630,747.2,3384.0,4.52,4.84,53,极佳 🟢
13:00:33,Block 78,640,747.2,3384.0,4.52,4.84,65,极佳 🟢
13:00:33,Block 79,640,747.2,3384.0,4.52,4.84,60,极佳 🟢
13:02:04,Block 78,650,747.1,3384.0,4.52,4.84,54,极佳 🟢
13:02:04,Block 79,650,747.1,3384.0,4.52,4.84,56,极佳 🟢
13:03:36,Block 78,660,747.1,3384.0,4.52,4.84,42,极佳 🟢
13:03:36,Block 79,660,747.1,3384.0,4.52,4.84,59,极佳 🟢
13:05:07,Block 78,670,747.1,3384.0,4.52,4.84,66,极佳 🟢
13:05:07,Block 79,670,747.1,3384.0,4.52,4.84,47,极佳 🟢
13:06:39,Block 78,680,747.2,3384.0,4.52,4.84,64,极佳 🟢
13:06:39,Block 79,680,747.2,3384.0,4.52,4.84,57,极佳 🟢
13:08:10,Block 78,690,747.1,3384.0,4.52,4.84,53,极佳 🟢
13:08:10,Block 79,690,747.1,3384.0,4.52,4.84,53,极佳 🟢
13:09:41,Block 78,700,746.9,3384.0,4.52,4.84,66,极佳 🟢
13:09:41,Block 79,700,746.9,3384.0,4.52,4.84,58,极佳 🟢
13:11:13,Block 78,710,746.7,3384.0,4.52,4.84,61,极佳 🟢
13:11:13,Block 79,710,746.7,3384.0,4.52,4.84,49,极佳 🟢
13:12:44,Block 78,720,746.8,3384.0,4.52,4.84,56,极佳 🟢
13:12:44,Block 79,720,746.8,3384.0,4.52,4.84,65,极佳 🟢
13:14:16,Block 78,730,746.5,3384.0,4.52,4.84,48,极佳 🟢
13:14:16,Block 79,730,746.5,3384.0,4.52,4.84,52,极佳 🟢
13:15:47,Block 78,740,746.5,3384.0,4.52,4.84,52,极佳 🟢
13:15:47,Block 79,740,746.5,3384.0,4.52,4.84,52,极佳 🟢
13:17:19,Block 78,750,746.4,3384.0,4.52,4.84,63,极佳 🟢
13:17:19,Block 79,750,746.4,3384.0,4.52,4.84,48,极佳 🟢
13:18:50,Block 78,760,746.1,3384.0,4.52,4.84,62,极佳 🟢
13:18:50,Block 79,760,746.1,3384.0,4.52,4.84,47,极佳 🟢
13:20:22,Block 78,770,746.2,3384.0,4.52,4.84,59,极佳 🟢
13:20:22,Block 79,770,746.2,3384.0,4.52,4.84,54,极佳 🟢
13:21:53,Block 78,780,746.2,3384.0,4.52,4.84,59,极佳 🟢
13:21:53,Block 79,780,746.2,3384.0,4.52,4.84,48,极佳 🟢
13:23:25,Block 78,790,745.8,3384.0,4.52,4.84,62,极佳 🟢
13:23:25,Block 79,790,745.8,3384.0,4.52,4.84,49,极佳 🟢
13:24:56,Block 78,800,746.4,3384.0,4.52,4.84,45,极佳 🟢
13:24:56,Block 79,800,746.4,3384.0,4.52,4.84,57,极佳 🟢
13:26:28,Block 78,810,745.8,3384.0,4.52,4.84,46,极佳 🟢
13:26:28,Block 79,810,745.8,3384.0,4.52,4.84,50,极佳 🟢
13:27:59,Block 78,820,746.4,3384.0,4.52,4.84,53,极佳 🟢
